Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type,Roast Type,Size,Unit Price,Sales,Coffee Type Name,Roast Type Name,Loyalty Card
QEV-37451-860,05-09-19,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,United States,Rob,M,1,9.95,19.9,Robusta,Medium,Yes
QEV-37451-860,05-09-19,17670-51384-MA,E-M-0.5,5,Aloisia Allner,aallner0@lulu.com,United States,Exc,M,0.5,8.25,41.25,Excelsa,Medium,Yes
FAA-43335-268,17-06-21,21125-22134-PX,A-L-1,1,Jami Redholes,jredholes2@tmall.com,United States,Ara,L,1,12.95,12.95,Arabica,Light,Yes
KAC-83089-793,15-07-21,23806-46781-OU,E-M-1,2,Christoffer O' Shea,,Ireland,Exc,M,1,13.75,27.5,Excelsa,Medium,No
KAC-83089-793,15-07-21,23806-46781-OU,R-L-2.5,2,Christoffer O' Shea,,Ireland,Rob,L,2.5,27.485,54.97,Robusta,Light,No
CVP-18956-553,04-08-21,86561-91660-RB,L-D-1,3,Beryle Cottier,,United States,Lib,D,1,12.95,38.85,Liberica,Dark,No
IPP-31994-879,21-01-22,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,slobe6@nifty.com,United States,Exc,D,0.5,7.29,21.87,Excelsa,Dark,Yes
SNZ-65340-705,20-05-22,21134-81676-FR,L-L-0.2,1,Melvin Wharfe,,Ireland,Lib,L,0.2,4.755,4.755,Liberica,Light,Yes
EZT-46571-659,02-01-19,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,gpetracci8@livejournal.com,United States,Rob,M,0.5,5.97,17.91,Robusta,Medium,No
NWQ-70061-912,05-09-19,61021-27840-ZN,R-M-0.5,1,Rodger Raven,rraven9@ed.gov,United States,Rob,M,0.5,5.97,5.97,Robusta,Medium,No
BKK-47233-845,08-03-21,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,United States,Ara,D,1,9.95,39.8,Arabica,Dark,No
VQR-01002-970,28-10-20,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,dphizackerlyb@utexas.edu,United States,Exc,L,2.5,34.155,170.775,Excelsa,Light,Yes
SZW-48378-399,02-07-22,34136-36674-OM,R-M-1,5,Rosaleen Scholar,rscholarc@nyu.edu,United States,Rob,M,1,9.95,49.75,Robusta,Medium,No
ITA-87418-783,22-05-20,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,tvanyutind@wix.com,United States,Rob,D,2.5,20.585,41.17,Robusta,Dark,No
GNZ-46006-527,05-04-22,95875-73336-RG,L-D-0.2,3,Patrice Trobe,ptrobee@wunderground.com,United States,Lib,D,0.2,3.885,11.655,Liberica,Dark,Yes
FYQ-78248-319,07-06-22,25473-43727-BY,R-M-2.5,5,Llywellyn Oscroft,loscroftf@ebay.co.uk,United States,Rob,M,2.5,22.885,114.425,Robusta,Medium,No
VAU-44387-624,20-03-19,99643-51048-IQ,A-M-0.2,6,Minni Alabaster,malabasterg@hexun.com,United States,Ara,M,0.2,3.375,20.25,Arabica,Medium,No
RDW-33155-159,19-10-19,62173-15287-CU,A-L-1,6,Rhianon Broxup,rbroxuph@jimdo.com,United States,Ara,L,1,12.95,77.7,Arabica,Light,No
TDZ-59011-211,13-06-19,57611-05522-ST,R-D-2.5,4,Pall Redford,predfordi@ow.ly,Ireland,Rob,D,2.5,20.585,82.34,Robusta,Dark,Yes
IDU-25793-399,04-12-20,76664-37050-DT,A-M-0.2,5,Aurea Corradino,acorradinoj@harvard.edu,United States,Ara,M,0.2,3.375,16.875,Arabica,Medium,Yes
IDU-25793-399,04-12-20,76664-37050-DT,E-D-0.2,4,Aurea Corradino,acorradinoj@harvard.edu,United States,Exc,D,0.2,3.645,14.58,Excelsa,Dark,Yes
NUO-20013-488,04-12-20,03090-88267-BQ,A-D-0.2,6,Avrit Davidowsky,adavidowskyl@netvibes.com,United States,Ara,D,0.2,2.985,17.91,Arabica,Dark,No
